auditId,sourceLine,company,country,ownerIndex,investmentFirm,ownershipVehicle,ownerInvestmentYear,topLevelInvestmentYear,exitYear,status,dateBasis,priority,flags,evidenceMilestones,earlierSignals,sourceUrls,proposedYear,evidenceUrl,reviewerNotes
chicago-parking-meters-llc__owner-1__msip,408,"Chicago Parking Meters, LLC",United States,1,MSIP,n.a.,2009,2009,,Active,close,none,,"Feb 2009 | Acquisition | The MSIP / Morgan Stanley Infrastructure-led consortium, including ADIA and Allianz, reached financial close on the 75-year Chicago parking meter concession for $1.151 billion.",,https://www.chicago.gov/city/en/depts/fin/supp_info/chicago_parking_meteragreement0.html | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://parkchicago.com/about,,,
chicago-parking-meters-llc__owner-2__adia-infrastructure,408,"Chicago Parking Meters, LLC",United States,2,ADIA Infrastructure,n.a.,2009,2009,,Active,close,none,,"Feb 2009 | Acquisition | The MSIP / Morgan Stanley Infrastructure-led consortium, including ADIA and Allianz, reached financial close on the 75-year Chicago parking meter concession for $1.151 billion.",,https://www.chicago.gov/city/en/depts/fin/supp_info/chicago_parking_meteragreement0.html | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://parkchicago.com/about,,,
chicago-parking-meters-llc__owner-3__allianz-global-investors,408,"Chicago Parking Meters, LLC",United States,3,Allianz Global Investors,n.a.,2009,2009,,Active,close,none,,"Feb 2009 | Acquisition | The MSIP / Morgan Stanley Infrastructure-led consortium, including ADIA and Allianz, reached financial close on the 75-year Chicago parking meter concession for $1.151 billion.",,https://www.chicago.gov/city/en/depts/fin/supp_info/chicago_parking_meteragreement0.html | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/ | https://parkchicago.com/about,,,
firstenergy-transmission-llc__owner-1__adia-infrastructure,442,"FirstEnergy Transmission, LLC",United States,1,ADIA Infrastructure,n.a.,2024,2024,,Active,close,none,,"Mar 25, 2024 | Acquisition | Brookfield closed its follow-on FET acquisition through a structure for which public regulatory records identify ADIA Infrastructure as holding an indirect passive economic interest.",,https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-announces-transformative--3-4-billion-of-equity-fina.html | https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-completes-minority-interest-sale-in-transmission-bus.html | https://www.firstenergycorp.com/newsroom/news_articles/fe-closes-on-fe-transmission-interest-sale.html | https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B00A61E9C-0000-C856-9EC0-AB998D2CF015%7D&DocTitle=Redacted+Black+Volt+B+2024+LLC+and+Black+Beacon+B+2024+LLC+-+2026+Annual+Report+%28PUBLIC+VERSION%29 | https://www.sec.gov/Archives/edgar/data/1031296/000103129624000018/fe-20240325x8k.htm | https://www.brookfield.com/views-news/insights/firstenergy-transmission-premier-electric-transmission-platform,,,
firstenergy-transmission-llc__owner-2__brookfield-asset-management,442,"FirstEnergy Transmission, LLC",United States,2,Brookfield Asset Management,Brookfield Super-Core Infrastructure Partners,2022,2024,,Active,close,none,secondary_owner_year_differs_from_display_year,"May 31, 2022 | Acquisition | Brookfield Super-Core Infrastructure Partners completed the acquisition of the initial 19.9% minority stake in FirstEnergy Transmission.",,https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-announces-transformative--3-4-billion-of-equity-fina.html | https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-completes-minority-interest-sale-in-transmission-bus.html | https://www.firstenergycorp.com/newsroom/news_articles/fe-closes-on-fe-transmission-interest-sale.html | https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B00A61E9C-0000-C856-9EC0-AB998D2CF015%7D&DocTitle=Redacted+Black+Volt+B+2024+LLC+and+Black+Beacon+B+2024+LLC+-+2026+Annual+Report+%28PUBLIC+VERSION%29 | https://www.sec.gov/Archives/edgar/data/1031296/000103129624000018/fe-20240325x8k.htm | https://www.brookfield.com/views-news/insights/firstenergy-transmission-premier-electric-transmission-platform,,,
landmark-dividend-llc__owner-1__adia-infrastructure,476,Landmark Dividend LLC,United States,1,ADIA Infrastructure,n.a.,2024,2024,,Active,close,none,,"Apr 2, 2024 | Acquisition | ADIA completed the acquisition of a 40% stake in Landmark Dividend alongside DigitalBridge-sponsored vehicles.",,https://www.landmarkdividend.com/ | https://www.landmarkdividend.com/what-we-do | https://www.nasdaq.com/press-release/digital-colony-completes-acquisition-of-landmark-dividend-llc-2021-06-02 | https://ir.digitalbridge.com/news-releases/news-release-details/adia-acquires-40-stake-landmark-dividend/ | https://ir.digitalbridge.com/news-releases/news-release-details/adia-completes-acquisition-40-stake-landmark-dividend-alongside/ | https://www.digitalbridge.com/portfolio/landmark-dividend,,,
landmark-dividend-llc__owner-2__digitalbridge,476,Landmark Dividend LLC,United States,2,DigitalBridge,DigitalBridge / ADIA JV,2021,2024,,Active,close,none,secondary_owner_year_differs_from_display_year,"Jun 2, 2021 | Acquisition | Digital Colony / DigitalBridge affiliates completed the acquisition of Landmark Dividend.",,https://www.landmarkdividend.com/ | https://www.landmarkdividend.com/what-we-do | https://www.nasdaq.com/press-release/digital-colony-completes-acquisition-of-landmark-dividend-llc-2021-06-02 | https://ir.digitalbridge.com/news-releases/news-release-details/adia-acquires-40-stake-landmark-dividend/ | https://ir.digitalbridge.com/news-releases/news-release-details/adia-completes-acquisition-40-stake-landmark-dividend-alongside/ | https://www.digitalbridge.com/portfolio/landmark-dividend,,,
aes-clean-energy__owner-1__aimco,510,AES Clean Energy,United States,1,AIMCo,n.a.,2020,2020,,Active,announced,none,,"Nov 17, 2020 | Financing | AES and AIMCo announced an agreement to form the AES Clean Energy platform by merging sPower with AES' U.S. clean energy business.",,https://www.aimco.ca/insights/aes-and-aimco-to-form-leading-renewables-platform | https://www.prnewswire.com/news-releases/aes-and-aimco-to-form-leading-renewables-platform-in-the-us-301174269.html | https://www.aes.com/about-us | https://www.aimco.ca/what-we-do/asset-classes/infrastructure-renewable-resources/ | https://www.communityenergyinc.com/news/aes-acquires-us-renewables-developer-community-energy-adding-10-gw-of-renewable-projects-to-growth-pipeline | https://www.aes.com/newsroom/aes-us-based-clean-energy-unit-secures-optimized-funding-construction-2-gw-clean-energy,,,
boldyn-networks__owner-1__aimco,543,Boldyn Networks,United States / Canada,1,AIMCo,n.a.,2024,2024,,Active,announced,none,,"Mar 2024 | Financing | AIMCo disclosed that CPP Investments held 86% and AIMCo held 10% of Boldyn Networks. || Mar 6, 2024 | Financing | CPP Investments, AIMCo, and Manulife IM announced additional investment to support U.S. growth.",,https://www.aimco.ca/insights/boldyn-networks-investment | https://www.boldyn.com/news/bai-communications-transforms-into-boldyn-networks-with-game-changing-ai-created-brand-identity | https://www.boldyn.com/us/about-us | https://www.boldyn.com/us/company-values-history | https://www.cppinvestments.com/newsroom/cpp-investments-aimco-and-manulife-im-increase-commitment-to-boldyn-networks-to-support-continued-growth-in-the-u-s/,,,
cando-rail-terminals__owner-1__aimco,575,Cando Rail & Terminals,Canada,1,AIMCo,n.a.,2022,2022,,Active,announced,none,,"Jul 20, 2022 | Acquisition | AIMCo announced a definitive agreement to acquire 100% of Cando Rail & Terminals from TorQuest Partners and Cando employees.",,https://www.aimco.ca/insights/cando-rail-and-terminals-acquisition | https://www.candorail.com/aboutus/ | https://www.candorail.com/,,,
castle-rock-ridge-ii-wind-farm__owner-1__aimco,603,Castle Rock Ridge II Wind Farm,Canada,1,AIMCo,n.a.,2018,2018,,Active,announced,none,,Feb 2018 | Acquisition | Enel announced an agreement to sell a 49% interest in Castle Rock Ridge II to AIMCo.,,https://www.aimco.ca/insights/aimco-partnership-with-enel-green-power | https://www.enel.com/content/dam/enel-common/press/en/2018---febr/EGP%20Alberta%20BSO%20ENG.pdf | https://www.enelgreenpower.com/media/press/2020/05/enel-green-power-fuels-recovery-by-connecting-three-new-wind-farms-in-north-america | https://www.enelgreenpower.com/our-projects/highlights/castle-rock-ridge-wind-farms,,,
coastal-gaslink-pipeline-project__owner-1__aimco,632,Coastal GasLink Pipeline Project,Canada,1,AIMCo,n.a.,2020,2020,,Active,close,none,,"May 2020 | Divestiture | TC Energy closed the sale of 65% of Coastal GasLink to KKR and AIMCo, retaining 35%.",,https://www.coastalgaslink.com/about/faqs/ | https://www.coastalgaslink.com/whats-new/news-stories/2019/Partial-Monetization-of-CGL-Announced/ | https://www.coastalgaslink.com/whats-new/news-stories/2020/tc-energy-completes-partial-monetization-and-project-financing-transactions-for-coastal-gaslink/ | https://www.tcenergy.com/announcements/2019/2019-12-26tc-energy-announces-the-partial-monetization-of-the-coastal-gaslink-pipeline-project/ | https://www.tcenergy.com/announcements/2022/2022-03-09-tc-energy-signs-equity-option-agreements-with-indigenous-communities-across-the-coastal-gaslink-project-corridor/,,,
howard-energy-partners__owner-1__aimco,663,Howard Energy Partners,United States / Mexico,1,AIMCo,n.a.,2017,2017,,Active,close,none,,2017 | Acquisition | AIMCo acquired an initial 28% stake in Howard Energy Partners on behalf of certain clients.,,https://www.aimco.ca/insights/expanded-ownership-howard-energy-partners | https://www.howardenergypartners.com/ | https://www.howardenergypartners.com/our-operations/ | https://www.howardenergypartners.com/howard-energy-partners-acquires-ethylene-pipeline-from-epic-midstream-holdings/,,,
northern-courier-pipeline__owner-1__aimco,694,Northern Courier Pipeline,Canada,1,AIMCo,n.a.,2019,2019,,Active,close,none,,"Jul 19, 2019 | Acquisition | AIMCo closed the acquisition of an 85% equity stake in Northern Courier Pipeline from TC Energy.",,https://www.aimco.ca/insights/investment-in-northern-courier-pipeline | https://www.aimco.ca/insights/aimco-welcomes-investment-in-ncp | https://www.torys.com/work/2019/05/41cdfb27-f894-4c11-9357-fba42a8e4a76 | https://www.gem.wiki/Northern_Courier_Pipeline_System,,,
puget-energy-puget-sound-energy__owner-1__aimco,723,Puget Energy / Puget Sound Energy,United States,1,AIMCo,n.a.,2009,2009,,Active,close,none,,"Feb 6, 2009 | Acquisition | Puget Holdings completed the take-private acquisition of Puget Energy through a consortium of infrastructure investors including AIMCo and BCI.",,https://www.aimco.ca/insights/aimco-increases-stake-in-puget-sound-energy | https://assets.ctfassets.net/lyt4cjmefjno/5aorUTYWwgPMIGc9cNPx9r/8518334d4637dbde57c10a376b60c10c/puget_investment.pdf | https://www.sec.gov/Archives/edgar/data/81100/000119312509027209/d8k.htm | https://www.pse.com/en/about-us | https://www.pse.com/en/Customer-Service/pse-locations-2 | https://www.bci.ca/powering-the-pacific-northwest-bcis-strategic-investment-in-puget-sound-energy/ | https://www.bci.ca/wp-content/uploads/2024/08/IRR-Program-FS-2024_Secured.pdf,,,
puget-energy-puget-sound-energy__owner-2__bci,723,Puget Energy / Puget Sound Energy,United States,2,BCI,Infrastructure & Renewable Resources,2009,2009,,Active,close,none,,"Feb 6, 2009 | Acquisition | Puget Holdings completed the take-private acquisition of Puget Energy through a consortium of infrastructure investors including AIMCo and BCI.",,https://www.aimco.ca/insights/aimco-increases-stake-in-puget-sound-energy | https://assets.ctfassets.net/lyt4cjmefjno/5aorUTYWwgPMIGc9cNPx9r/8518334d4637dbde57c10a376b60c10c/puget_investment.pdf | https://www.sec.gov/Archives/edgar/data/81100/000119312509027209/d8k.htm | https://www.pse.com/en/about-us | https://www.pse.com/en/Customer-Service/pse-locations-2 | https://www.bci.ca/powering-the-pacific-northwest-bcis-strategic-investment-in-puget-sound-energy/ | https://www.bci.ca/wp-content/uploads/2024/08/IRR-Program-FS-2024_Secured.pdf,,,
riverview-wind-farm__owner-1__aimco,757,Riverview Wind Farm,Canada,1,AIMCo,n.a.,2018,2018,,Active,announced,none,,Feb 2018 | Divestiture | Enel announced the sale of a 49% interest in Riverview Wind Farm to AIMCo.,,https://www.aimco.ca/insights/aimco-partnership-with-enel-green-power | https://www.enel.com/content/dam/enel-common/press/en/2018---febr/EGP%20Alberta%20BSO%20ENG.pdf | https://www.enelgreenpower.com/media/press/2020/05/enel-green-power-fuels-recovery-by-connecting-three-new-wind-farms-in-north-america | https://majorprojects.alberta.ca/details/Riverview-Wind-Farm,,,
trisummit-utilities__owner-1__aimco,785,TriSummit Utilities,United States / Canada,1,AIMCo,n.a.,2020,2020,,Active,close,none,,"Mar 31, 2020 | Acquisition | PSP Investments and the Alberta Teachers’ Retirement Fund, with ATRF's interest managed by AIMCo per TriSummit disclosures, completed the acquisition of AltaGas Canada and renamed the business TriSummit Utilities.",,https://trisummit.ca/about-us/our-history | https://trisummit.ca/index.php/newsroom/news-2023/227-nvestmentsandompletecquisitionofltaasa20200331093900 | https://trisummit.ca/images/Reports_Filings/2025/TSU_AIF_2024_Final_web.pdf | https://trisummit.ca/images/pdf/TSU_2024_ESG_Report_Final.pdf,,,
broadview-wind-farm__owner-1__allianz-global-investors,816,Broadview Wind Farm,United States,1,Allianz Global Investors,n.a.,2017,2017,,Active,close,none,,Apr 2017 | Acquisition | Pattern Energy announced it had acquired Broadview as the project entered operations. || May 2017 | Financing | Allianz Capital Partners and Capital One completed a tax-equity investment in the project.,,https://patternenergy.com/projects/broadview-wind/ | https://patternenergy.com/wp-content/uploads/2023/11/101823-BroadviewWind-Factsheet.pdf | https://www.prnewswire.com/news-releases/pattern-energy-commits-to-acquire-324-mw-broadview-wind-power-facility-in-new-mexico-for-269-million-300293036.html | https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/migration/media/press/document/ACP_Cap_One_EN.pdf,,,
colbeck-s-corner-wind-farm__owner-1__allianz-global-investors,846,Colbeck's Corner Wind Farm,United States,1,Allianz Global Investors,n.a.,2016,2016,,Active,close,none,,"May 2016 | Financing | E.ON, Allianz Capital Partners, and State Street Corporation closed tax-equity financing for Colbeck's Corner.",,https://www.eon.com/en/about-us/media/press-release/2016/eon-adds-us-based-colbeck-s-corner-wind-farm-to-its-renewable-portfolio.html | https://www.prnewswire.com/news-releases/eon-climate--renewables-allianz-capital-partners-and-state-street-corporation-close-colbecks-corner-llc-tax-equity-financing-300274548.html | https://www.prnewswire.com/news-releases/eon-dedicates-colbecks-corner-wind-farm-300356031.html,,,
galloway-2-solar-project__owner-1__allianz-global-investors,873,Galloway 2 Solar Project,United States,1,Allianz Global Investors,n.a.,2022,2022,,Active,close,none,,Nov 2022 | Divestiture | Avantus completed the sale of Galloway 2 to Allianz Capital Partners. || Nov 2022 | Financing | CIT announced construction financing for the project and stated that Allianz had purchased a majority interest while Avantus retained a minority stake.,,https://avantus.com/news/avantus-and-allianz-capital-partners-announce-completion-of-sale-for-galloway-2-solar-project | https://avantus.com/news/avantus-celebrates-galloway-2-solar-project-groundbreaking-in-texas | https://newsroom.firstcitizens.com/2022-11-03-CIT-Leads-Construction-Financing-for-Major-New-Texas-Solar-Project,,,
great-western-wind-farm__owner-1__allianz-global-investors,901,Great Western Wind Farm,United States,1,Allianz Global Investors,n.a.,2017,2017,,Active,close,none,,Feb 2017 | Financing | Allianz Capital Partners and MUFG completed a tax-equity investment in Great Western. || Jun 2017 | Acquisition | Alliant Energy announced an agreement to acquire a 50% interest in the project from EDF Renewable Energy.,,https://www.edf-re.com/project/great-western-wind/ | https://www.edf-re.com/press-release/edf-renewable-energy-announces-commercial-operation-great-western-wind-project/ | https://investors.alliantenergy.com/News--Presentations/news/news-details/2017/EDF-Renewable-Energy-Signs-Agreement-to-Sell-50-of-Great-Western-Wind-Project-to-Alliant-Energy/default.aspx | https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/migration/media/press/document/ACP_Great_Western-EN.pdf,,,
kelly-creek-wind-project__owner-1__allianz-global-investors,930,Kelly Creek Wind Project,United States,1,Allianz Global Investors,n.a.,2017,2017,,Active,announced,none,,Jan 2017 | Financing | Allianz Capital Partners announced its tax-equity investment as sole tax-equity partner for Kelly Creek.,,https://www.edf-re.com/project/kelly-creek-wind/ | https://www.edf-re.com/press-release/edf-renewable-energy-announces-commercial-operation-kelly-creek-wind-project/ | https://www.allianzcapitalpartners.com/-/media/allianzgi/globalagi/acp/documents/news/2017/acp-press-release-kelly-creek.pdf,,,
