"bucket","company","country","investmentFirm","oldOwnerInvestmentYear","newOwnerInvestmentYear","oldTopLevelInvestmentYear","newTopLevelInvestmentYear"
"corrected_or_normalized","Oakville Trafalgar Memorial Hospital","Canada","Fengate Asset Management","2016","2011","2016","2011"
"corrected_or_normalized","Surrey Memorial Hospital Critical Care Tower","Canada","Fengate Asset Management","2011","2010","2011","2010"
"corrected_or_normalized","Arctic Cold","United States","GCM","2024","2019","2024","2019"
"corrected_or_normalized","Plug Power Fuel Cell Asset SPVs","United States","Generate Capital","2020","2019","2020","2019"
"corrected_or_normalized","Stem Energy Storage Asset SPVs","United States","Generate Capital","2020","2016","2020","2016"
"corrected_or_normalized","Texas Microgrid Entities (Generate ER-NG)","United States","Generate Capital","2024","2022","2024","2022"
"corrected_or_normalized","Duquesne Light Company","United States","GIC","2024","2011","2024","2011"
"corrected_or_normalized","Bluepoint Wind","United States","Global Infrastructure Partners","2026","2022","2026","2022"
"corrected_or_normalized","Vanguard Renewables","United States","Global Infrastructure Partners","2026","2022","2026","2022"
"corrected_or_normalized","55 Hereford Street","Canada","Grain","2024,N/A","2023,2023","2023","2023"
"corrected_or_normalized","AWS-1 A-Block License","United States","Grain","2026","2013","2026","2013"
"corrected_or_normalized","Cincinnati Bell Wireless spectrum licenses","United States","Grain","2026","2014","2026","2014"
"corrected_or_normalized","American Campus Communities (ACC) ASU P3 Portfolio","United States","Harrison Street","2022","2021","2022","2021"
"corrected_or_normalized","GridPoint","United States","I Squared Capital","2022","2021","2022","2021"
"corrected_or_normalized","Summit School Services","United States / Canada","I Squared Capital","2026","2025","2026","2025"
"corrected_or_normalized","Transportation Equipment Network (TEN)","United States / Canada","I Squared Capital","2026","2024","2026","2024"
"corrected_or_normalized","Zenith Energy Terminal Portland","United States","I Squared Capital","2026","2025","2026","2025"
"corrected_or_normalized","Freeport LNG","United States","IFM Investors","2013","2014","2013","2014"
"corrected_or_normalized","GCT Global Container Terminals","Canada / United States","IFM Investors","2019","2018","2007","2007"
"corrected_or_normalized","Indiana Toll Road","United States","IFM Investors","2021","2015","2021","2021"
"corrected_or_normalized","Swift Current Energy","United States","IFM Investors","2025","2021","2025","2021"
"corrected_or_normalized","ConGlobal","United States","InfraBridge","2023","2017","2017","2017"
"corrected_or_normalized","Expedient","United States","InfraBridge","2020","2019","2019","2019"
"corrected_or_normalized","Invenergy AMPCI Thermal Power","United States / Canada","InfraBridge","2026","2018","N/A","2026"
"corrected_or_normalized","Fullmark Energy","United States","InfraRed Capital Partners","2025","2018","2025","2018"
"corrected_or_normalized","Skyservice US (formerly Leading Edge Jet Center)","United States","Instar","2017","2019","2017","2019"
"corrected_or_normalized","Steel Reef Infrastructure Corp.","Canada","Instar","2020,2025","2016,2016","2016","2016"
"corrected_or_normalized","Summit Utilities, Inc.","United States","J.P. Morgan Asset Management","2022","2007","2022","2007"
"corrected_or_normalized","Caturus","United States","Kimmeridge","2025","2023","2025","2023"
"corrected_or_normalized","Sempra Infrastructure Partners, LP","United States","KKR","2025","2021","2026","2025"
"corrected_or_normalized","Aligned Data Centers","United States","Macquarie Asset Management","2025","2018","2025","2025"
"corrected_or_normalized","Potters Industries LLC","United States","Macquarie Asset Management","2026","2025","2026","2025"
"corrected_or_normalized","Yusen Terminals LLC","United States","Macquarie Asset Management","2014","2015","2014","2015"
"corrected_or_normalized","JFK Millennium Partners","United States","Manulife","2026","2022","2026","2022"
"corrected_or_normalized","Central 70","United States","Meridiam","2022,N/A","2017,2017","2017","2017"
"corrected_or_normalized","Laguna Water Supply","United States","Meridiam","2026","2022","2026","2022"
"corrected_or_normalized","North Tarrant Express Segments 1 and 2","United States","Meridiam","2017,N/A","2009,2009","2009","2009"
"corrected_or_normalized","Northeast Anthony Henday Drive","Canada","Meridiam","2019,N/A","2012,2012","2012","2012"
"corrected_or_normalized","Cotton Plains Portfolio","United States","Northleaf","2026","2016","2026","2016"
"corrected_or_normalized","Maple PPP Portfolio","Canada","Northleaf","2026","2014","2026","2014"
"corrected_or_normalized","Ports America","United States","Oaktree / Duration","2023","2014","2023","2014"
"corrected_or_normalized","Alectra Inc.","Canada","OMERS","2017","2004","2017","2004"
"corrected_or_normalized","Navisun LLC","United States","OMERS","2022","2021","2022","2021"
"corrected_or_normalized","Skyway Concession Company","United States","OTPP","2016,2016","2016","2016","2016"
"corrected_or_normalized","Generate Capital","United States","QIC","2019,N/A","2019,2019","2021","2021"
"corrected_or_normalized","Renewa","United States","QIC","2025","2022","2025","2025"
"corrected_or_normalized","Gemini Solar + Storage","United States","Quinbrook","2022,N/A","2024","2022","2022"
"corrected_or_normalized","GlidePath Power Solutions","United States","Quinbrook","2017,2018","2017,2017","2017","2017"
"corrected_or_normalized","Junction City Biomethane","United States","Quinbrook","2026","2025","2026","2025"
"corrected_or_normalized","Meyersdale Energy Storage","United States","Quinbrook","2024,N/A","2019,2019","2019","2019"
"corrected_or_normalized","Middlebury Resource Recovery Center","United States","Quinbrook","2023,N/A","2023,2023","2023","2023"
"corrected_or_normalized","PurposeEnergy Minster","United States","Quinbrook","2023,2026","2023,2023","2023","2023"
"corrected_or_normalized","PurposeEnergy South Burlington","United States","Quinbrook","2026,N/A","2023,2023","2023","2023"
"corrected_or_normalized","Rowan Cinco","United States","Quinbrook","2026,N/A","2022,2022","2025","2022"
"corrected_or_normalized","Rowan Temple","United States","Quinbrook","2023,N/A","2022,2022","2023","2022"
"corrected_or_normalized","Valley of Fire","United States","Quinbrook","2020","2017","2020","2017"
"corrected_or_normalized","Valley Cold Storage & Transportation","United States","Ridgewood","2026,N/A","2024,2024","2024","2024"
"corrected_or_normalized","intellirent","United States","Sandbrook","2026","2025","2026","2025"
"corrected_or_normalized","United Utility Services, LLC","United States","Sandbrook","2025","2026","2025","2026"
"corrected_or_normalized","Ashburn Data Center Development Site (300MW / 98 acres)","United States","SDC","2026","2025","2026","2025"
"corrected_or_normalized","Bandwidth Infrastructure Group, LLC d/b/a BIG Fiber","United States","SDC","2019","2020","2019","2020"
"corrected_or_normalized","BIG Fiber","United States","SDC","2019","2020","2019","2020"
"corrected_or_normalized","Cityside Networks","United States","SDC","2023,2026","2023,2023","2023","2023"
"corrected_or_normalized","Lyte Fiber","United States","SDC","2026","2024","2026","2024"
"corrected_or_normalized","Not publicly disclosed.","United States","SDC","2026","2022","2026","2022"
"corrected_or_normalized","SQF, LLC d/b/a Verta","United States","SDC","2026","2019","2026","2019"
"corrected_or_normalized","Wecom Fiber","United States","Searchlight","2025","2023","2023","2023"
"corrected_or_normalized","Astound Broadband","United States","Stonepeak","2026","2021","2026","2021"
"corrected_or_normalized","Dupré Logistics","United States","Stonepeak","2026","2025","2026","2025"
"corrected_or_normalized","ExteNet Systems","United States","Stonepeak","2020","2015","2021","2021"
"corrected_or_normalized","Longview Infrastructure","United States","Stonepeak","2026","2025","2026","2025"
"corrected_or_normalized","Montera Infrastructure","North America","Stonepeak","2026","2025","2026","2025"
"corrected_or_normalized","Stonepeak Infrastructure Logistics Platform","United States","Stonepeak","2026","2021","2026","2021"
"corrected_or_normalized","Woodside Louisiana LNG","United States","Stonepeak","2026","2025","2026","2025"
"corrected_or_normalized","Velocity FBO Network","United States","Tallvine","2025,N/A","2025,2025","2025","2025"
"corrected_or_normalized","Atlantica Sustainable Infrastructure plc","North America","Temasek","2025","2024","2024","2024"
"corrected_or_normalized","American Natural","United States","Tiger","2026","2015","2026","2015"
"corrected_or_normalized","Danskammer Energy","United States","Tiger","2026","2017","2026","2017"
"corrected_or_normalized","Modern Aviation","United States","Tiger","2026","2018","2023","2023"
"corrected_or_normalized","Strategic Venue Partners","United States","Tiger","2018","2019","2018","2019"
"corrected_or_normalized","Summit Carbon Solutions","United States","Tiger","2026","2021","2022","2022"
"corrected_or_normalized","TeraWatt Infrastructure","United States","Vision Ridge","2025,N/A","2022,2022","2022","2022"
"corrected_or_normalized","Direct ChassisLink, Inc.","United States","Wren House","2026","2022","2022","2022"
"corrected_or_normalized","Phoenix Tower International","United States","Wren House","2024","2022","2018","2022"
"corrected_or_normalized","SeaCube Container Leasing","United States","Wren House","2023,N/A","2023,2023","2023","2023"
"filled_from_na","Chicago Parking Meters, LLC","United States","ADIA Infrastructure","N/A","2009","2009","2009"
"filled_from_na","FirstEnergy Transmission, LLC","United States","ADIA Infrastructure","N/A","2024","2022","2024"
"filled_from_na","Puget Sound Energy","United States","AIMCo","N/A","2009","2009","2022"
"filled_from_na","Chicago Parking Meters, LLC","United States","Allianz Global Investors","N/A","2009","2009","2009"
"filled_from_na","Cross-Sound Cable Company, LLC","United States","APG Infrastructure","N/A","2015","2015","2015"
"filled_from_na","Duquesne Light Company","United States","APG Infrastructure","N/A","2017","2024","2011"
"filled_from_na","Hawaiʻi Gas","United States","APG Infrastructure","N/A","2022","2022","2022"
"filled_from_na","Hudson Transmission Project","United States","APG Infrastructure","N/A","2019","2018","2019"
"filled_from_na","LBJ Express","United States","APG Infrastructure","N/A","2010","2010","2010"
"filled_from_na","Modern Aviation","United States","Apollo Global Management","N/A","2023","2023","2023"
"filled_from_na","Invenergy AMPCI Thermal Power","United States / Canada","ArcLight Capital Partners","N/A","2026","N/A","2026"
"filled_from_na","DSD Renewables","United States","Ares Management","N/A","2022","2019","2019"
"filled_from_na","Carville Energy Center","United States","Argo Infrastructure Partners","N/A","2019","2019","2019"
"filled_from_na","Freight Ninja","United States","Argo Infrastructure Partners","N/A","2025","2025","2025"
"filled_from_na","Hawaiʻi Gas","United States","Argo Infrastructure Partners","N/A","2022","2022","2022"
"filled_from_na","Hudson Transmission Project","United States","Argo Infrastructure Partners","N/A","2019","2018","2019"
"filled_from_na","LAZ Parking","United States","Argo Infrastructure Partners","N/A","2021","2022","2021"
"filled_from_na","Leatherstocking Gas Company","United States","Argo Infrastructure Partners","N/A","2022","2022","2022"
"filled_from_na","TierPoint","United States","Argo Infrastructure Partners","N/A","2022","2022","2022"
"filled_from_na","Buckeye Partners","United States","AustralianSuper","N/A","2019","2019","2019"
"filled_from_na","Nexus Water Group","United States / Canada","BCI","N/A","2024","2024","2024"
"filled_from_na","Trans Bay Cable LLC","United States","Brookfield Asset Management","N/A","2026","N/A","2026"
"filled_from_na","Generate Capital","United States","CBRE Investment Management","N/A","2021","2021","2021"
"filled_from_na","Candela Renewables Portfolio","United States","Copenhagen Infrastructure Partners","N/A","2026","N/A","2026"
"filled_from_na","Energy Storage","United States","Copenhagen Infrastructure Partners","N/A","2020","N/A","2020"
"filled_from_na","Cascade Power Project","Canada","CVC DIF","N/A","2020","2020","2020"
"filled_from_na","Diverso Energy Inc.","Canada","CVC DIF","N/A,N/A","2023,2023","2023","2023"
"filled_from_na","Joink, LLC","United States","CVC DIF","N/A,N/A","2021,2021","2021","2021"
"filled_from_na","Valley Fiber Ltd.","Canada","CVC DIF","N/A,N/A","2020,2020","2020","2020"
"filled_from_na","ConGlobal","United States","DigitalBridge","N/A","2017","2017","2017"
"filled_from_na","Expedient","United States","DigitalBridge","N/A","2019","2019","2019"
"filled_from_na","Invenergy AMPCI Thermal Power","United States / Canada","DigitalBridge","N/A","2018","N/A","2026"
"filled_from_na","Zayo Group Holdings, Inc.","United States / Canada","DigitalBridge","N/A","2020","2020","2020"
"filled_from_na","Conterra Networks","United States","EIC","N/A","2019","2019","2019"
"filled_from_na","Blue Racer Midstream, LLC","United States","EIG Global Energy Partners","N/A","2019","N/A","2019"
"filled_from_na","American Roads","United States / Canada","Equitix","N/A","2026","N/A","2026"
"filled_from_na","Cambrian Innovation Water Asset SPVs","United States","Generate Capital","N/A","2015","N/A","2015"
"filled_from_na","ACES Delta","United States","GIC","N/A","2022","2022","2022"
"filled_from_na","Aligned Data Centers","United States","Global Infrastructure Partners","N/A","2025","2025","2025"
"filled_from_na","Rio Grande LNG","United States","Global Infrastructure Partners","N/A","2023","2023","2023"
"filled_from_na","The AES Corporation","United States","Global Infrastructure Partners","N/A","2026","N/A","2026"
"filled_from_na","DataBank","United States","IMCO","N/A","2022","2024","2024"
"filled_from_na","Nexus Water Group","United States / Canada","J.P. Morgan Asset Management","N/A","2024","2024","2024"
"filled_from_na","LBJ Express","United States","Meridiam","N/A,N/A","2010,2010","2010","2010"
"filled_from_na","Transform 66 Outside the Beltway","United States","Meridiam","N/A,N/A","2017,2017","2017","2017"
"filled_from_na","Longroad Energy","United States","Morrison","N/A","2016","2016","2016"
"filled_from_na","Brazos Midstream","United States","MSIP","N/A","2018","2018","2018"
"filled_from_na","Chicago Parking Meters, LLC","United States","MSIP","N/A","2009","2009","2009"
"filled_from_na","Gulf Coast Express Pipeline LLC","United States","Mubadala","N/A","2025","N/A","2025"
"filled_from_na","Sempra Infrastructure Partners, LP","United States","Mubadala","N/A","2021","2026","2025"
"filled_from_na","ACES Delta","United States","OTPP","N/A","2022","2022","2022"
"filled_from_na","Pacifico Sur","Mexico","OTPP","N/A","2018","2018","2018"
"filled_from_na","Puget Sound Energy","United States","OTPP","N/A","2022","2009","2022"
"filled_from_na","Ash Creek Solar","United States","Quinbrook","N/A,N/A","2021,2021","2021","2021"
"filled_from_na","Prairie Mist Solar","United States","Quinbrook","N/A,N/A","2023,2023","N/A","2023"
"filled_from_na","Rowan Bauxite","United States","Quinbrook","N/A,N/A","2022,2022","2024","2022"
"filled_from_na","St. Albans Industrial Treatment (SAINT)","United States","Quinbrook","N/A,N/A","2023,2023","2023","2023"
"filled_from_na","CenTrio","United States","Ullico","N/A","2021","2021","2021"
"filled_from_na","JFK New Terminal One","United States","Ullico","N/A","2022","2022","2022"
"filled_from_na","Guzman Energy","United States","Vision Ridge","N/A,N/A","2018,2018","2018","2018"
