recordId,ownershipPeriodId,companyName,country,investmentFirm,currentVehicleName,databaseVehicleName,investmentYear,stake,attribution,confidence,attributedFundName,disclosedOrEstimatedFundName,currentLinkedFundName,linkedCanonicalFundName,targetLinkedFundName,rationale,evidenceUrls,sourceAuditStatus,applyEligible,proposedAction,fundDatabaseAction
OFA-6C14E839D1AC,cmrxpjws201orivheq3g3mq4u,AES Ohio,United States,La Caisse de dépôt (CDPQ),n.a.,n.a.,2025,Approximately 30% indirect equity interest,DISCLOSED,HIGH,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,Matched supplemental ownership detail: Firm: CDPQ | Fund: CDPQ Infrastructure | Ownership Interest: 30% Verified fund matches an existing fund-list entry.,https://www.lacaisse.com/en/news/pressreleases/aes-announces-strategic-partnership-cdpq-support-aes-ohios-robust-growth-plans; https://www.sec.gov/Archives/edgar/data/787250/000078725025000039/dpl-20250930.htm; https://www.aes.com/sites/vault/files/2026-03/AES-Corp-2025-Annual-Report-03-20-2026.pdf; https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/aes-20251231.htm,Verified fund,true,SET_DISCLOSED_LINKED,NONE
OFA-E3371E859E9E,cmrxpjrpi01glivhek5pw7hya,AFCO,United States,Ardian,n.a.,n.a.,2025,,INFERRED,LOW,Ardian Americas Infrastructure Fund V (AAIF V),Ardian Americas Infrastructure Fund V (AAIF V),Ardian Americas Infrastructure Fund V (AAIF V),Ardian Americas Infrastructure Fund V (AAIF V),Ardian Americas Infrastructure Fund V (AAIF V),"Estimated by preserving the existing curated link to Ardian Americas Infrastructure Fund V (AAIF V); public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2022 is 3 years before investment, North America-relevant mandate.",https://www.ardian.com/news-insights/press-releases/ardian-signs-agreement-acquisition-goldman-sachs-alternatives-stake; https://aviationfacilities.com/; https://aviationfacilities.com/about-us/our-history/; https://aviationfacilities.com/about-us/news/,n.a.,false,SET_INFERRED,NONE
OFA-93BB6EF895B7,cmrxpk30301ygivhetzq5dun5,AL Sandersville Holdings,United States,Harbert Management Corp (Harbert Infra / Gulf Pacific),"Gulf Pacific Power, LLC","Gulf Pacific Power, LLC",2021,,DISCLOSED,HIGH,"Gulf Pacific Power, LLC","Gulf Pacific Power, LLC",,,,"Matched supplemental ownership detail: Firm: Gulf Pacific Power / Harbert affiliates | Fund: Gulf Pacific Power, LLC | Ownership Interest: 50% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.",https://www.globenewswire.com/news-release/2021/07/29/2271522/0/en/Gulf-Pacific-Power-LLC-Acquires-Peaking-Facility-Near-Sandersville.html; https://www.harbert.net/; https://www.wspp.org/pages/Documents/07_27_21_northern_star_non_member_website_posting.pdf,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-2DC0FA7658AB,cmrxpk27n01x8ivhevmhimy9d,"ALLETE, Inc.",United States,CPP Investments,Real Assets (Infrastructure),Real Assets (Infrastructure),2025,,DISCLOSED,HIGH,Real Assets (Infrastructure),Real Assets (Infrastructure),,,,Matched supplemental ownership detail: Firm: CPP Investments | Fund: Real Assets (Infrastructure) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.,https://investor.allete.com/news-releases/news-release-details/allete-enters-agreement-be-acquired-partnership-led-canada; https://investor.allete.com/news-releases/news-release-details/allete-announces-completion-acquisition-cpp-investments-and; https://www.allete.com/; https://allete.blob.core.windows.net/allete/Documents/Investors/AnnualReports/2024AR.pdf; https://www.cppinvestments.com/newsroom/allete-enters-agreement-to-be-acquired-by-a-partnership-led-by-canada-pension-plan-investment-board-and-global-infrastructure-partners-to-advance-sustainability-in-action-strategy/,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-E8E5399AFF15,cmrxpk2ap01x9ivhe4xgl52eu,"ALLETE, Inc.",United States,BlackRock,n.a.,n.a.,2025,,INFERRED,LOW,BlackRock GIF IV,BlackRock GIF IV,BlackRock GIF IV,BlackRock GIF IV,BlackRock GIF IV,"Estimated by preserving the existing curated link to BlackRock GIF IV; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2024 is 1 years before investment, North America-relevant mandate.",https://investor.allete.com/news-releases/news-release-details/allete-enters-agreement-be-acquired-partnership-led-canada; https://investor.allete.com/news-releases/news-release-details/allete-announces-completion-acquisition-cpp-investments-and,n.a.,false,SET_INFERRED,NONE
OFA-BF641BF7CCC9,cmrxpk9o3028qivhe3tmwmebn,"ALLO Communications, LLC",United States,SDC,n.a.,n.a.,2020,,INFERRED,LOW,SDC Digital Infrastructure Opportunity Fund I,SDC Digital Infrastructure Opportunity Fund I,,SDC Digital Infrastructure Opportunity Fund I,,"Estimated from manager match 1.00, vintage 2017 is 3 years before investment, North America-relevant mandate, historical vehicle retained for attribution only; next candidate trails by 0.0 points. Public disclosure does not identify a distinct fund.",https://www.prnewswire.com/news-releases/nelnet-partners-with-sdc-capital-partners-to-propel-allos-growth-301144602.html; https://sdccapitalpartners.com/investments/; https://www.allocommunications.com/about/; https://www.allocommunications.com/communities-that-want-allo/; https://www.sec.gov/Archives/edgar/data/1723715/000095017218000095/xslFormDX01/primary_doc.xml,n.a.,false,SET_INFERRED,NONE
OFA-3D3A787D4858,cmrxpk84o026civhe4kaku2iy,AMAROK,United States,Northleaf Capital Partners,n.a.,n.a.,2021,,INFERRED,LOW,Northleaf NEIF,Northleaf NEIF,Northleaf NEIF,Northleaf NEIF,Northleaf NEIF,"Estimated by preserving the existing curated link to Northleaf NEIF; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, evergreen/permanent-capital vehicle, North America-relevant mandate.",https://www.northleafcapital.com/news/northleaf-and-avalt-announce-acquisition-amarok; https://amarok.com/about-us/; https://amarok.com/news/amarok-new-headquarters-bullstreet-columbia-sc/,n.a.,false,SET_INFERRED,NONE
OFA-F07880F6F53E,cmrxpk57j021rivhevtw75ei2,"AMPORTS, Inc.",United States,Instar,n.a.,n.a.,2018,100% equity interest,INFERRED,MEDIUM,InstarAGF Essential Infrastructure Fund I,InstarAGF Essential Infrastructure Fund I,,InstarAGF Essential Infrastructure Fund I,,"Estimated from manager match 1.00, vintage 2017 is 1 years before investment, North America-relevant mandate, historical vehicle retained for attribution only; next candidate trails by 17.0 points. Public disclosure does not identify a distinct fund.",https://www.globenewswire.com/news-release/2018/04/03/1459589/0/en/InstarAGF-Asset-Management-Acquires-AMPORTS-Inc.html; https://instarinvest.com/portfolio/; https://www.amports.com/history/; https://www.lincolnshiremgmt.com/press-release-lincolnshire-management-sells-amports-inc-leading-port-terminal-operator/; https://instarinvest.com/2020/06/instaragf-essential-infrastructure-fund-ii-achieves-final-close/?lang=en,n.a.,false,SET_INFERRED,NONE
OFA-B9497747768D,cmrxpk60x0231ivhexivd8e82,APLD HPC TopCo 2 / Applied Digital HPC JV,United States,Macquarie Asset Management,Macquarie-managed funds and investment vehicles,Macquarie-managed funds and investment vehicles,2025,,INFERRED,LOW,Macquarie Infrastructure Partners VI,Macquarie Infrastructure Partners VI,Macquarie Infrastructure Partners VI,Macquarie Infrastructure Partners VI,Macquarie Infrastructure Partners VI,"Estimated by preserving the existing curated link to Macquarie Infrastructure Partners VI; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vehicle-name overlap 0.33, vintage 2022 is 3 years before investment, North America-relevant mandate.",https://ir.applieddigital.com/sec-filings/all-sec-filings/content/0001493152-25-026369/0001493152-25-026369.pdf; https://www.macquarie.com/au/en/about/news/2025/mam-closes-first-investment-in-partnership-with-applied-digital-providing-up-to-us5billion-in-funding-to-support-high-performance-computing-growth.html; https://www.macquarie.com/us/en/about/news/2025/macquarie-asset-management-agrees-to-form-a-partnership-with-applied-digital.html; https://ir.applieddigital.com/news-events/press-releases/detail/130/applied-digital-and-macquarie-asset-management-execute,Disclosed but generic,false,SET_INFERRED,NONE
OFA-4BBE798F7036,cmrxpjzko01t2ivhejp5kqg4i,ARB Midstream,United States,EIG Global Energy Partners,EIG Direct Equity / Funds,EIG Direct Equity / Funds,2017,,INFERRED,MEDIUM,EIG Fund XVII,EIG Fund XVII,EIG Fund XVII,EIG Fund XVII,EIG Fund XVII,"Estimated by preserving the existing curated link to EIG Fund XVII; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vehicle-name overlap 0.33, vintage 2017 is 0 years before investment, North America-relevant mandate, historical vehicle retained for attribution only.",https://dev.pixflex.com/eig/investment/arb-midstream/; https://www.sec.gov/Archives/edgar/data/1634453/000119312518060900/d521469dncsr.htm; https://eigpartners.com/; https://www.sec.gov/Archives/edgar/data/1712778/000171277817000002/0001712778-17-000002-index.html,Disclosed but generic,false,SET_INFERRED,NONE
OFA-2BEDC8FAE33A,cmrxpk2w701y9ivhe77caxjvg,ARC,United States,H.I.G. Capital,n.a.,n.a.,2024,,INFERRED,MEDIUM,H.I.G. Infrastructure Partners Fund I,H.I.G. Infrastructure Partners Fund I,H.I.G. Infrastructure Partners Fund I,H.I.G. Infrastructure Partners Fund I,H.I.G. Infrastructure Partners Fund I,"Estimated by preserving the existing curated link to H.I.G. Infrastructure Partners Fund I; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2021 is 3 years before investment, North America-relevant mandate.",https://hig.com/portfolio/arc/; https://higinfrastructure.com/portfolio/arc/; https://arcwastecompactors.com/; https://higinfrastructure.com/portfolio/,n.a.,false,SET_INFERRED,NONE
OFA-FB91DE47E025,cmrxpjvvr01naivheq82gc47e,ARK Data Centers,United States,Carlyle Group,Carlyle Global Infrastructure Opportunity Fund,Carlyle Global Infrastructure Opportunity Fund,2022,,DISCLOSED,HIGH,Carlyle Global Infrastructure Opportunity Fund,Carlyle Global Infrastructure Opportunity Fund,Carlyle Global Infrastructure Opportunity Fund,Carlyle Global Infrastructure Opportunity Fund,Carlyle Global Infrastructure Opportunity Fund,Matched supplemental ownership detail: Firm: Carlyle | Fund: Carlyle Global Infrastructure Opportunity Fund | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.,https://www.carlyle.com/media-room/news-release-archive/carlyle-acquire-expand-data-center-company-involta; https://www.arkdna.com/about/news/carlyle-s-acquisition-of-hybrid-cloud-data-center-provider-ark-closes/; https://www.arkdna.com/; https://www.arkdna.com/about/; https://www.arkdna.com/data-centers/data-center-locations/,Verified fund,true,SET_DISCLOSED_LINKED,NONE
OFA-1F489A3D99E4,cmrxpka0f0299ivheqysmp4v1,ATSG,United States,Stonepeak,n.a.,n.a.,2025,,INFERRED,LOW,Stonepeak Fund V,Stonepeak Fund V,Stonepeak Fund V,Stonepeak Fund V,Stonepeak Fund V,"Estimated by preserving the existing curated link to Stonepeak Fund V; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2023 is 2 years before investment, North America-relevant mandate.",https://stonepeak.com/news/atsg-to-be-acquired-by-stonepeak-for-3-1-billion; https://stonepeak.com/news/stonepeak-completes-acquisition-of-atsg; https://www.atsginc.com/news-and-media/newsroom/year/2026/2026-02-24-erickson-acquires-321-precision; https://www.atsginc.com/; https://www.atsginc.com/about/,n.a.,false,SET_INFERRED,NONE
OFA-4ABAE6CE7C72,cmrxpk2p801xwivhenhap6ffl,AWS-1 A-Block License,United States,Grain Management,n.a.,n.a.,2013,,INFERRED,LOW,Grain GCOF IV,Grain GCOF IV,Grain GCOF IV,Grain GCOF IV,Grain GCOF IV,"Estimated by preserving the existing curated link to Grain GCOF IV; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, North America-relevant mandate.",https://www.verizon.com/about/system/files/quarterly-report-bulletins/vz_2013_q1_quarterly_bulletin.pdf; https://graingp.com/investments/; https://www.fcc.gov/document/att-verizon-wireless-grain-transactions-approved; https://www.lightreading.com/network-technology/at-t-strikes-1-9b-spectrum-deal-with-verizon,n.a.,false,SET_INFERRED,NONE
