"requestedManager","canonicalManager","fundName","vehicleType","lifecycle","northAmericaBasis","currentHoldingName","vintage","strategies","structure","fundStatus","size","sizeBasis","repoDisposition","matchedLegacyIds","changedFields","confidence"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2012","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2012","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2014","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2014","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2016","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2016","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2017","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2017","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2017 II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2017","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2020-2021","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2020-2021","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_CORRECTION","FUND-010","fundName | investmentStrategy | size | sizeUsdMm | vintage | structure | fundStatus | regions | sourceUrls | strategyUrl","HIGH"
"APG Infrastructure","APG Asset Management","APG Infrastructure Asset Owner Fund III C.V.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Pattern Energy","2024","Co-Investments","Closed-End","Financial Close","€1.0B initial commitments","COMMITMENTS","NEEDS_REVIEW","","","MEDIUM"
"Apollo Global Management","Apollo Global Management","Apollo Infrastructure Opportunities Fund II","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","US Wind","2020","Core-Plus | Value-Add","Closed-End","Financial Close","$2.542B committed capital","COMMITMENTS","PROPOSED_CORRECTION","FUND-010A","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | strategies | sectors | regions | sourceUrls","HIGH"
"Apollo Global Management","Apollo Global Management","Apollo Infrastructure Opportunities Fund III","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2024","Core-Plus | Value-Add","Closed-End","Financial Close","$2.399B committed capital","COMMITMENTS","PROPOSED_CORRECTION","FUND-014","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | strategies | sectors | regions | sourceUrls","HIGH"
"Apollo Global Management","Apollo Global Management","Apollo Infrastructure Company","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","2023","Core | Core-Plus","Open-End","Evergreen","$1.9B total net asset value; not classified as fund size","","PROPOSED_CORRECTION","FUND-011","fundName | investmentStrategy | size | sizeUsdMm | vintage | strategies | sectors | regions | sourceUrls","MEDIUM"
"Apollo Global Management","Apollo Global Management","Apollo Starmoon CEPF Co-Invest (Overseas), L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Star Moon Holdings / XPLR renewable portfolio","2021","Co-Investments","Closed-End","Financial Close","No fund size disclosed; $816M was a transaction first-close amount","","PROPOSED_NEW","","","MEDIUM"
"Ara Partners","Ara Partners","Ara Infrastructure Fund I","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Centric Fiber","2022","Value-Add | Greenfield","Closed-End","Financial Close","$800M+ aggregate commitments for Ara Infrastructure Fund I and associated co-investment vehicles","COMMITMENTS","PROPOSED_CORRECTION","FUND-017","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | strategies | sectors | sourceUrls","HIGH"
"Ara Partners","Ara Partners","Ara Energy Fund I","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","Not disclosed","Value-Add","Closed-End","Raising","Undisclosed","","PROPOSED_CORRECTION","FUND-016","fundName | investmentStrategy | size | sizeUsdMm | vintage | regions | sourceUrls | strategyUrl","MEDIUM"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Energy Partners Fund V, L.P.","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2011","Value-Add","Closed-End","Financial Close","$3.3B investor commitments","COMMITMENTS","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Energy Partners Fund VI, L.P.","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2015","Value-Add","Closed-End","Financial Close","$5.575B commitments","COMMITMENTS","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Energy Partners Fund VII, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Infinigen Renewables","2020","Value-Add","Closed-End","Financial Close","Approximately $3.4B commitments","COMMITMENTS","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Infrastructure Partners Fund VIII","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Phoenix Renewables","2026","Value-Add","Closed-End","Financial Close","$3.9B total commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-018","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies | sourceUrls","HIGH"
"ArcLight Capital","ArcLight Capital Partners","ArcLight 3C SPV, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Third Coast CV","2022","Value-Add","Closed-End","Financial Close","$407M capital commitments","COMMITMENTS","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Renewable Infrastructure Fund SM SPV, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Sidney Murray Hydroelectric Project","2021","Value-Add","Closed-End","Financial Close","$173M amount sold","AMOUNT_SOLD","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","AL GCX Co-Invest, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Gulf Coast Express Pipeline","2024","Co-Investments","Closed-End","Financial Close","$235.5M amount sold","AMOUNT_SOLD","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","AL GCX Fund VIII Co-Invest-A, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Gulf Coast Express Pipeline","2024","Co-Investments","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","AL NGPL Fund VIII Co-Invest, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Natural Gas Pipeline Company of America","2025","Co-Investments","Closed-End","Financial Close","$262.394M current gross asset value","AUM","PROPOSED_NEW","","","HIGH"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Power Infrastructure Partners, L.P.","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Core","Closed-End","Raising","$250M amount sold","AMOUNT_SOLD","NEEDS_REVIEW","","","MEDIUM"
"ArcLight Capital","ArcLight Capital Partners","ArcLight Aransas Principal Investment Vehicle, L.P.","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2025","Value-Add","Closed-End","Raising","$100M amount sold","AMOUNT_SOLD","NEEDS_REVIEW","","","MEDIUM"
"Ardian","Ardian","Ardian Americas Infrastructure Fund IV (AAIF IV)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2018","Core-Plus","Closed-End","Financial Close","$0.8B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-018A","sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Ardian","Ardian","Ardian Americas Infrastructure Fund V (AAIF V)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Core-Plus","Closed-End","Financial Close","$2.1B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-019","sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Ardian","Ardian","Ardian Infrastructure Fund VI","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Akuo","2023","Core-Plus","Closed-End","Financial Close","€11.5B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-020","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Ardian","Ardian","Averrhoa Nature-Based Solutions","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2024","Greenfield","Closed-End","Raising","€200M commitments","COMMITMENTS","PROPOSED_NEW","","","MEDIUM"
"Ardian","Ardian","Clean H2 Infra Fund","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","StormFisher Hydrogen","2021","Growth | Greenfield","Closed-End","Financial Close","€2.0B final close","FINAL_CLOSE","NEEDS_REVIEW","","","MEDIUM"
"Ares Management","Ares Management","Ares Core Infrastructure Fund","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","2024","Core | Retail Act '40","Open-End","Evergreen","Not disclosed on an allowed basis","","PROPOSED_CORRECTION","FUND-021","fundName | investmentStrategy | size | sizeUsdMm | vintage | strategies | sectors | regions | sourceUrls | strategyUrl","HIGH"
"Ares Management","Ares Management","Ares Climate Infrastructure Partners II, L.P.","NAMED_FUND","RAISING","VERIFIED_CURRENT_NA_HOLDING","ACIP II co-investment (underlying asset undisclosed)","2022","Value-Add | Greenfield","Closed-End","Raising","$1.6B commitments","COMMITMENTS","NEEDS_REVIEW","FUND-022","","MEDIUM"
"Ares Management","Ares Management","Ares Climate Infrastructure Partners, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Apex Clean Energy","2018","Value-Add | Greenfield","Closed-End","Financial Close","$1.4B final close","FINAL_CLOSE","PROPOSED_NEW","","","MEDIUM"
"Ares Management","Ares Management","Ares Energy Investors Fund V, L.P.","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2015","Opportunistic | Greenfield","Closed-End","Financial Close","$801M commitments","COMMITMENTS","PROPOSED_NEW","","","MEDIUM"
"Ares Management","Ares Management","U.S. Power Fund IV, L.P.","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2010","Opportunistic | Greenfield","Closed-End","Financial Close","$1.688B commitments","COMMITMENTS","PROPOSED_NEW","","","HIGH"
"Argo Infrastructure Partners","Argo Infrastructure Partners","AIA Energy North America LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Cross-Sound Cable","Not disclosed","Co-Investments","Closed-End","Financial Close","$1,497,903,289 current gross asset value","AUM","PROPOSED_NEW","","","HIGH"
"Argo Infrastructure Partners","Argo Infrastructure Partners","Argo Capital Platform (P) 2017 L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Corning Energy Corporation","2017","Core","Closed-End","Financial Close","$79,520,399 current gross asset value","AUM","NEEDS_REVIEW","","","MEDIUM"
"Argo Infrastructure Partners","Argo Infrastructure Partners","AIA Montana Aggregator LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Duquesne Light / DQE Holdings LLC","Not disclosed","Co-Investments","Closed-End","Financial Close","$800,513,921 current gross asset value","AUM","PROPOSED_NEW","","","HIGH"
"Argo Infrastructure Partners","Argo Infrastructure Partners","AIA Florence Aggregator LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Carville Energy Center and Oneta Energy Center","Not disclosed","Co-Investments","Closed-End","Financial Close","$601,329,349 current gross asset value","AUM","NEEDS_REVIEW","","","MEDIUM"
"Argo Infrastructure Partners","Argo Infrastructure Partners","AIA Infrastructure 3 LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","LAZ Parking","Not disclosed","Co-Investments","Closed-End","Financial Close","$1,036,400,678 current gross asset value","AUM","NEEDS_REVIEW","","","MEDIUM"
"Argo Infrastructure Partners","Argo Infrastructure Partners","AMF Hawaii Holdings LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Hawaiʻi Gas","Not disclosed","Co-Investments","Closed-End","Financial Close","$104,985,894 current gross asset value","AUM","PROPOSED_NEW","","","HIGH"
"Argo Infrastructure Partners","Argo Infrastructure Partners","Argo Series 3","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","TierPoint","2021","Core","Closed-End","Financial Close","$2.0B","","NEEDS_REVIEW","FUND-023","","MEDIUM"
"Argo Infrastructure Partners","Argo Infrastructure Partners","ACP Inception TC Co-Investment L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","TierPoint","Not disclosed","Co-Investments","Closed-End","Financial Close","$239,596,154 current gross asset value","AUM","PROPOSED_NEW","","","HIGH"
"Argo Infrastructure Partners","Argo Infrastructure Partners","ACP Fuse Co-Invest Partnership, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","TierPoint","Not disclosed","Co-Investments","Closed-End","Financial Close","$345,138,627 current gross asset value","AUM","PROPOSED_NEW","","","HIGH"
"Astatine Investment Partners","Astatine Investment Partners","Astatine Infrastructure Fund I","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","PECO Pallet, Inc.","2016","Core-Plus","Closed-End","Financial Close","Not disclosed","","NEEDS_REVIEW","FUND-024","","MEDIUM"
"Astatine Investment Partners","Astatine Investment Partners","Astatine Infrastructure Fund II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2020","Core-Plus","Closed-End","Financial Close","$1.0B target","TARGET","NEEDS_REVIEW","FUND-025","","MEDIUM"
"Astatine Investment Partners","Astatine Investment Partners","Boulevard Digital Co-Investment A, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Everfast Fiber Networks","Not disclosed","Co-Investments","Closed-End","Financial Close","Not disclosed","","PROPOSED_NEW","","","HIGH"
"Australian Super","AustralianSuper","AustralianSuper Infrastructure Portfolio","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","DataBank Data Centers","Evergreen","Co-Investments","Permanent Capital","Evergreen","A$48.265B AUM (level 3 infrastructure)","AUM","PROPOSED_CORRECTION","FUND-026","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies | sectors | regions | sourceUrls","MEDIUM"
"Axium Infrastructure","Axium Infrastructure","Axium Infrastructure Canada L.P.","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2011","Core","Closed-End","Financial Close","C$460 million final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"Axium Infrastructure","Axium Infrastructure","Axium Infrastructure North American Fund","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","2012","Core","Open-End","Evergreen","$8.5 billion NAV (currency and as-of date not specified by source)","","PROPOSED_CORRECTION","FUND-027","fundName | investmentStrategy | size | vintage | structure | regions | sourceUrls | strategyUrl","HIGH"
"Axium Infrastructure","Axium Infrastructure","B2C ES Coinvest LP","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Edwards Sanborn Phase 1B solar and battery-storage facility","2023","Co-Investments","Closed-End","Financial Close","$60 million commitment","COMMITMENTS","PROPOSED_NEW","","","MEDIUM"
"Basalt Infrastructure Partners","Basalt Infrastructure Partners","Basalt BIP IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2024","Core-Plus","Closed-End","Financial Close","—","","NEEDS_REVIEW","FUND-028","","MEDIUM"
"BCI","BCI","Infrastructure & Renewable Resources Program","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Global Container Terminals (GCT)","2020","Core","Evergreen","Evergreen","C$36.5B AUM","AUM","PROPOSED_CORRECTION","FUND-030","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | structure | sectors | regions | sourceUrls | strategyUrl","MEDIUM"
"Bernhard Capital Partners","Bernhard Capital Partners","BCP Energy Services Fund","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Brown & Root Industrial Services","NEEDS_REVIEW","Value-Add","Closed-End","Financial Close","NEEDS_REVIEW","","NEEDS_REVIEW","","","MEDIUM"
"Bernhard Capital Partners","Bernhard Capital Partners","BCP Energy Services Fund II","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","United Utility","NEEDS_REVIEW","Value-Add","Closed-End","Financial Close","NEEDS_REVIEW","","NEEDS_REVIEW","","","MEDIUM"
"Bernhard Capital Partners","Bernhard Capital Partners","BCP Fund III","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Grace Hebert Curtis","NEEDS_REVIEW","Value-Add","Closed-End","Financial Close","$1.5B offering amount; related filings report $730M sold; final close NEEDS_REVIEW","","NEEDS_REVIEW","FUND-031","","MEDIUM"
"Bernhard Capital Partners","Bernhard Capital Partners","BCP Infrastructure Fund","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Delta Utilities","NEEDS_REVIEW","Value-Add","Closed-End","Financial Close","NEEDS_REVIEW","","NEEDS_REVIEW","","","MEDIUM"
"Bernhard Capital Partners","Bernhard Capital Partners","BCP Infrastructure Fund II","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","New Mexico Gas Company","NEEDS_REVIEW","Value-Add","Closed-End","Financial Close","NEEDS_REVIEW","","NEEDS_REVIEW","","","MEDIUM"
"BlackRock","BlackRock","BlackRock Global Energy & Power Infrastructure Fund I","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2012","Core-Plus","Closed-End","Financial Close","Undisclosed in the retained opened evidence","","PROPOSED_NEW","","","MEDIUM"
"BlackRock","BlackRock","BlackRock Global Energy & Power Infrastructure Fund II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2015","Core-Plus","Closed-End","Financial Close","Undisclosed in the retained opened evidence","","PROPOSED_NEW","","","MEDIUM"
"BlackRock","BlackRock","BlackRock Global Energy & Power Infrastructure Fund III","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2020","Core-Plus","Closed-End","Financial Close","$5.1B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"BlackRock","BlackRock","BlackRock Global Infrastructure Fund IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Core-Plus","Closed-End","Financial Close","$4.5B first close; later $6.1B repository amount NEEDS_REVIEW","FIRST_CLOSE","NEEDS_REVIEW","FUND-032","","MEDIUM"
"BlackRock","BlackRock","BlackRock Global Renewable Power Fund I","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2012","Core-Plus | Greenfield","Closed-End","Financial Close","Undisclosed in the retained opened evidence","","PROPOSED_NEW","","","MEDIUM"
"BlackRock","BlackRock","BlackRock Global Renewable Power Fund II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2016","Core-Plus | Greenfield","Closed-End","Financial Close","Undisclosed in the retained opened evidence","","PROPOSED_NEW","","","MEDIUM"
"BlackRock","BlackRock","BlackRock Global Renewable Power Fund III","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Core-Plus | Greenfield","Closed-End","Financial Close","$4.8B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"BlackRock","BlackRock","BlackRock Global Renewable Power Fund IV","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Core-Plus | Greenfield","Closed-End","Raising","$7.0B target; exact Form D amount-sold and as-of fields NEEDS_REVIEW","","NEEDS_REVIEW","FUND-033","","MEDIUM"
"BlackRock","BlackRock","Mexico Infrastructure Fund I","PROGRAM_EXCEPTION","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","NEEDS_REVIEW","Core-Plus | Value-Add","Listed / Closed-End","Financial Close","Undisclosed in the retained opened evidence","","NEEDS_REVIEW","","","MEDIUM"
"BlackRock","BlackRock","Mexico Infrastructure Fund II","PROGRAM_EXCEPTION","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","NEEDS_REVIEW","Core-Plus | Value-Add","Listed / Closed-End","Financial Close","Undisclosed in the retained opened evidence","","NEEDS_REVIEW","","","MEDIUM"
"BlackRock","BlackRock","Mexico Infrastructure Fund III","PROGRAM_EXCEPTION","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","NEEDS_REVIEW","Core-Plus | Value-Add | Greenfield","Listed / Closed-End","Financial Close","Undisclosed in the retained opened evidence","","NEEDS_REVIEW","","","MEDIUM"
