company_name,country,current_owner_investment_firm,current_ownership_vehicle,investment_year,verified_fund_vehicle_result,result_status,evidence_urls,evidence_type,confidence,proposed_seed_data_action,notes
"Alpha Generation, LLC",United States,ADIA Infrastructure,n.a.,2025,n.a.,n.a.,https://www.prnewswire.com/news-releases/arclight-announces-500mm-investment-by-a-wholly-owned-subsidiary-of-adia-in-11-gw-alphagen-power-infrastructure-platform-302348464.html; https://www.alphagen.com/about-us/; https://www.alphagen.com/newsroom/press-releases/arclight-creates-alphagen-to-manage-one-of-the-largest-power-infrastructure-portfolios-in-the-united-states/; https://www.alphagen.com/portfolio/,press release; company/manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Abu Dhabi Investment Authority subsidiary | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
"Arevon Energy, Inc.",United States,ADIA Infrastructure,n.a.,2021,n.a.,n.a.,https://www.prnewswire.com/news-releases/arevon-energy-inc-formed-through-combination-of-capital-dynamics-us-clean-energy-infrastructure-team-members-and-arevon-asset-management-301356809.html; https://arevonenergy.com/about/; https://arevonenergy.com/news/releases/arevon-surpasses-10-billion-in-operating-assets-expanding-its-american-energy-portfolio/; https://www.calstrs.com/files/438447b83/calstrs-investment-case-study-arevon-energy.pdf,press release; company/manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Abu Dhabi Investment Authority | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
"Arevon Energy, Inc.",United States,APG Infrastructure,"Clean Energy Infrastructure JV (APG, CalSTRS, ADIA)",2021,APG-managed pension client capital,Disclosed but generic,https://www.prnewswire.com/news-releases/arevon-energy-inc-formed-through-combination-of-capital-dynamics-us-clean-energy-infrastructure-team-members-and-arevon-asset-management-301356809.html; https://arevonenergy.com/about/; https://arevonenergy.com/news/releases/arevon-surpasses-10-billion-in-operating-assets-expanding-its-american-energy-portfolio/; https://www.calstrs.com/files/438447b83/calstrs-investment-case-study-arevon-energy.pdf,press release; company/manager page; supplemental source,Medium,Keep generic disclosure only if preferred; otherwise review whether n.a. is cleaner.,"Matched supplemental ownership detail: Firm: APG Asset Management | Fund: APG-managed pension client capital | Ownership Interest: Not publicly disclosed. Disclosure identifies a generic vehicle, account, client pool, or transaction structure rather than an exact fund."
"Chicago Parking Meters, LLC",United States,MSIP,n.a.,2009,n.a.,n.a.,https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/; https://www.morganstanley.com/press-releases/chicago-parking-meters-llc-selected-as-winning-bidder-for-the-chicago-metered-parking-system_045f9d28-c142-11dd-b3a2-8df06e0b6eda; https://www.chicago.gov/city/en/depts/fin/supp_info/chicago_parking_meteragreement0.html; https://www.metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/; https://www.morganstanley.com/im/en-us/institutional-investor/about-us/people-and-teams/investment-teams/infrastructure-team.html,manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Morgan Stanley Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
"Chicago Parking Meters, LLC",United States,ADIA Infrastructure,n.a.,2009,n.a.,n.a.,https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/; https://parkchicago.com/about; https://parkchicago.com/; https://www.morganstanley.com/im/en-la/intermediary-investor/companies/chicago-parking-meters.html,manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Abu Dhabi Investment Authority | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
"Chicago Parking Meters, LLC",United States,Allianz Global Investors,n.a.,2009,n.a.,n.a.,https://metroplanning.org/projects/innovative-infrastructure-delivery-chicago-parking-meter-analysis/; https://parkchicago.com/about; https://parkchicago.com/; https://www.morganstanley.com/im/en-la/intermediary-investor/companies/chicago-parking-meters.html,manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Capital Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
"FirstEnergy Transmission, LLC",United States,ADIA Infrastructure,n.a.,2024,n.a.,n.a.,https://www.firstenergycorp.com/newsroom/news_articles/fe-closes-on-fe-transmission-interest-sale.html; https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-completes-minority-interest-sale-in-transmission-bus.html; https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B00A61E9C-0000-C856-9EC0-AB998D2CF015%7D&DocTitle=Redacted+Black+Volt+B+2024+LLC+and+Black+Beacon+B+2024+LLC+-+2026+Annual+Report+%28PUBLIC+VERSION%29,press release; manager/company ownership source,High,No seed-data action suggested.,Current ownershipVehicle already indicates the fund was not disclosed.
"FirstEnergy Transmission, LLC",United States,Brookfield Asset Management,Brookfield Super-Core Infrastructure Partners,2022,Brookfield Super-Core Infrastructure Partners,Verified fund,https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-completes-minority-interest-sale-in-transmission-bus.html; https://www.firstenergycorp.com/newsroom/news_articles/fe-closes-on-fe-transmission-interest-sale.html; https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B00A61E9C-0000-C856-9EC0-AB998D2CF015%7D&DocTitle=Redacted+Black+Volt+B+2024+LLC+and+Black+Beacon+B+2024+LLC+-+2026+Annual+Report+%28PUBLIC+VERSION%29; https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-announces-transformative--3-4-billion-of-equity-fina.html; https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-announces--3-5-billion-equity-capital-agreement-to-f.html,press release; manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Brookfield Super-Core Infrastructure Partners | Fund: Brookfield Super-Core Infrastructure Partners | Ownership Interest: 49.9% Seed milestones or source evidence explicitly name the current fund vehicle.
Landmark Dividend LLC,United States,ADIA Infrastructure,n.a.,2024,n.a.,n.a.,https://ir.digitalbridge.com/news-releases/news-release-details/adia-acquires-40-stake-landmark-dividend/; https://ir.digitalbridge.com/news-releases/news-release-details/adia-completes-acquisition-40-stake-landmark-dividend-alongside/; https://www.digitalbridge.com/portfolio/landmark-dividend; https://www.landmarkdividend.com/; https://www.landmarkdividend.com/what-we-do,press release; manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Abu Dhabi Investment Authority | Fund: Not publicly disclosed. | Ownership Interest: 40% Supplemental detail states the fund was not publicly disclosed.
Landmark Dividend LLC,United States,DigitalBridge,DigitalBridge / ADIA JV,2021,DigitalBridge / ADIA JV,Disclosed but generic,https://ir.digitalbridge.com/news-releases/news-release-details/adia-acquires-40-stake-landmark-dividend/; https://www.digitalbridge.com/portfolio/landmark-dividend; https://ir.digitalbridge.com/news-releases/news-release-details/adia-completes-acquisition-40-stake-landmark-dividend-alongside/; https://www.landmarkdividend.com/,press release; manager/company ownership source; supplemental source; manager page,Medium,No seed-data action suggested.,Matched supplemental ownership detail: Firm: DigitalBridge | Fund: DigitalBridge / ADIA JV | Ownership Interest: 60% Supplemental detail supports the current generic vehicle label but does not identify a distinct exact fund.
AES Clean Energy,United States,AIMCo,n.a.,2020,n.a.,n.a.,https://www.aimco.ca/insights/aes-and-aimco-to-form-leading-renewables-platform; https://www.communityenergyinc.com/news/aes-acquires-us-renewables-developer-community-energy-adding-10-gw-of-renewable-projects-to-growth-pipeline; https://www.aes.com/about-us; https://www.aimco.ca/what-we-do/asset-classes/infrastructure-renewable-resources/; https://www.aes.com/newsroom/aes-us-based-clean-energy-unit-secures-optimized-funding-construction-2-gw-clean-energy,press release; transaction source; company/manager page; manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: AIMCo | Fund: AIMCo | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Boldyn Networks,United States / Canada,AIMCo,n.a.,2024,n.a.,n.a.,https://www.aimco.ca/insights/boldyn-networks-investment; https://www.boldyn.com/us/about-us; https://www.cppinvestments.com/newsroom/cpp-investments-aimco-and-manulife-im-increase-commitment-to-boldyn-networks-to-support-continued-growth-in-the-u-s/; https://www.boldyn.com/news/bai-communications-transforms-into-boldyn-networks-with-game-changing-ai-created-brand-identity; https://www.boldyn.com/us/company-values-history,transaction source; company/manager page; press release; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 10% Supplemental detail states the fund was not publicly disclosed.
Cando Rail & Terminals,Canada,AIMCo,n.a.,2022,n.a.,n.a.,https://www.aimco.ca/insights/cando-rail-and-terminals-acquisition; https://www.candorail.com/; https://www.candorail.com/aboutus/,press release; company/manager page; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 100% Supplemental detail states the fund was not publicly disclosed.
Castle Rock Ridge II Wind Farm,Canada,AIMCo,n.a.,2018,n.a.,n.a.,https://www.enel.com/content/dam/enel-common/press/en/2018---febr/EGP%20Alberta%20BSO%20ENG.pdf; https://www.aimco.ca/insights/aimco-partnership-with-enel-green-power; https://www.enelgreenpower.com/our-projects/highlights/castle-rock-ridge-wind-farms; https://www.enel.com/media/explore/search-press-releases/press/2018/02/enel-sells-minority-stake-in-two-canadian-wind-projects; https://www.enelgreenpower.com/media/press/2020/05/enel-green-power-fuels-recovery-by-connecting-three-new-wind-farms-in-north-america,manager/company ownership source; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 49% Supplemental detail states the fund was not publicly disclosed.
Coastal GasLink Pipeline Project,Canada,AIMCo,n.a.,2020,n.a.,n.a.,https://www.coastalgaslink.com/whats-new/news-stories/2020/tc-energy-completes-partial-monetization-and-project-financing-transactions-for-coastal-gaslink/; https://www.coastalgaslink.com/about/faqs/; https://www.coastalgaslink.com/whats-new/news-stories/2019/Partial-Monetization-of-CGL-Announced/; https://www.tcenergy.com/announcements/2019/2019-12-26tc-energy-announces-the-partial-monetization-of-the-coastal-gaslink-pipeline-project/; https://www.tcenergy.com/announcements/2022/2022-03-09-tc-energy-signs-equity-option-agreements-with-indigenous-communities-across-the-coastal-gaslink-project-corridor/,financing/filing source; company/manager page; supporting source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Howard Energy Partners,United States / Mexico,AIMCo,n.a.,2017,n.a.,n.a.,https://www.aimco.ca/insights/expanded-ownership-howard-energy-partners; https://www.howardenergypartners.com/howard-energy-partners-acquires-ethylene-pipeline-from-epic-midstream-holdings/; https://www.howardenergypartners.com/; https://www.howardenergypartners.com/our-operations/,manager/company ownership source; transaction source; company/manager page; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 87% Supplemental detail states the fund was not publicly disclosed.
Northern Courier Pipeline,Canada,AIMCo,n.a.,2019,n.a.,n.a.,https://www.torys.com/work/2019/05/41cdfb27-f894-4c11-9357-fba42a8e4a76; https://www.aimco.ca/insights/investment-in-northern-courier-pipeline; https://www.aimco.ca/insights/aimco-welcomes-investment-in-ncp; https://www.gem.wiki/Northern_Courier_Pipeline_System,manager/company ownership source; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 85% Supplemental detail states the fund was not publicly disclosed.
Puget Energy / Puget Sound Energy,United States,AIMCo,n.a.,2009,n.a.,n.a.,https://assets.ctfassets.net/lyt4cjmefjno/5aorUTYWwgPMIGc9cNPx9r/8518334d4637dbde57c10a376b60c10c/puget_investment.pdf; https://www.bci.ca/powering-the-pacific-northwest-bcis-strategic-investment-in-puget-sound-energy/; https://www.bci.ca/wp-content/uploads/2024/08/IRR-Program-FS-2024_Secured.pdf; https://www.aimco.ca/insights/aimco-increases-stake-in-puget-sound-energy; https://www.pse.com/en/about-us,manager/company ownership source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 13.6% Supplemental detail states the fund was not publicly disclosed.
Puget Energy / Puget Sound Energy,United States,BCI,Infrastructure & Renewable Resources,2009,n.a.,n.a.,https://www.bci.ca/powering-the-pacific-northwest-bcis-strategic-investment-in-puget-sound-energy/; https://www.bci.ca/wp-content/uploads/2024/08/IRR-Program-FS-2024_Secured.pdf; https://assets.ctfassets.net/lyt4cjmefjno/5aorUTYWwgPMIGc9cNPx9r/8518334d4637dbde57c10a376b60c10c/puget_investment.pdf; https://www.aimco.ca/insights/aimco-increases-stake-in-puget-sound-energy; https://www.pse.com/en/about-us,manager/company ownership source; supplemental source,High,"Review replacing current ownershipVehicle with ""n.a."" if user approves the undisclosed-fund convention.",Matched supplemental ownership detail: Firm: BCI | Fund: Not publicly disclosed. | Ownership Interest: 20.9% Supplemental detail states the fund was not publicly disclosed.
Riverview Wind Farm,Canada,AIMCo,n.a.,2018,n.a.,n.a.,https://www.enel.com/content/dam/enel-common/press/en/2018---febr/EGP%20Alberta%20BSO%20ENG.pdf; https://www.aimco.ca/insights/aimco-partnership-with-enel-green-power; https://www.enelgreenpower.com/media/press/2020/05/enel-green-power-fuels-recovery-by-connecting-three-new-wind-farms-in-north-america; https://www.enel.com/media/explore/search-press-releases/press/2018/02/enel-sells-minority-stake-in-two-canadian-wind-projects; https://majorprojects.alberta.ca/details/Riverview-Wind-Farm,manager/company ownership source; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: 49% Supplemental detail states the fund was not publicly disclosed.
TriSummit Utilities,United States / Canada,AIMCo,n.a.,2020,n.a.,n.a.,https://trisummit.ca/index.php/newsroom/news-2023/227-nvestmentsandompletecquisitionofltaasa20200331093900; https://trisummit.ca/about-us/our-history; https://trisummit.ca/images/Reports_Filings/2025/TSU_AIF_2024_Final_web.pdf; https://trisummit.ca/images/pdf/TSU_2024_ESG_Report_Final.pdf,press release; company/manager page; supporting source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: AIMCo | Fund: Not publicly disclosed. | Ownership Interest: Minority economic interest. Supplemental detail states the fund was not publicly disclosed.
Broadview Wind Farm,United States,Allianz Global Investors,n.a.,2017,n.a.,n.a.,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/migration/media/press/document/ACP_Cap_One_EN.pdf; https://www.prnewswire.com/news-releases/pattern-energy-commits-to-acquire-324-mw-broadview-wind-power-facility-in-new-mexico-for-269-million-300293036.html; https://patternenergy.com/projects/broadview-wind/; https://patternenergy.com/wp-content/uploads/2023/11/101823-BroadviewWind-Factsheet.pdf,manager/company ownership source; press release; supporting source; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Capital Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Colbeck's Corner Wind Farm,United States,Allianz Global Investors,n.a.,2016,n.a.,n.a.,https://www.prnewswire.com/news-releases/eon-climate--renewables-allianz-capital-partners-and-state-street-corporation-close-colbecks-corner-llc-tax-equity-financing-300274548.html; https://www.prnewswire.com/news-releases/eon-dedicates-colbecks-corner-wind-farm-300356031.html; https://www.eon.com/en/about-us/media/press-release/2016/eon-adds-us-based-colbeck-s-corner-wind-farm-to-its-renewable-portfolio.html,press release; supporting source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Capital Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Galloway 2 Solar Project,United States,Allianz Global Investors,n.a.,2022,n.a.,n.a.,https://avantus.com/news/avantus-and-allianz-capital-partners-announce-completion-of-sale-for-galloway-2-solar-project; https://newsroom.firstcitizens.com/2022-11-03-CIT-Leads-Construction-Financing-for-Major-New-Texas-Solar-Project; https://avantus.com/news/avantus-celebrates-galloway-2-solar-project-groundbreaking-in-texas,manager/company ownership source; press release; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Capital Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Great Western Wind Farm,United States,Allianz Global Investors,n.a.,2017,n.a.,n.a.,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/migration/media/press/document/ACP_Great_Western-EN.pdf; https://www.edf-re.com/project/great-western-wind/; https://www.edf-re.com/press-release/edf-renewable-energy-announces-commercial-operation-great-western-wind-project/; https://investors.alliantenergy.com/News--Presentations/news/news-details/2017/EDF-Renewable-Energy-Signs-Agreement-to-Sell-50-of-Great-Western-Wind-Project-to-Alliant-Energy/default.aspx; https://www.allianz.com/en/press/news/business/asset_management/20170202-allianz-wind-farm-in-oklahoma.result.html/3/2017.html,manager/company ownership source; supporting source; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Capital Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Kelly Creek Wind Project,United States,Allianz Global Investors,n.a.,2017,n.a.,n.a.,https://www.allianzcapitalpartners.com/-/media/allianzgi/globalagi/acp/documents/news/2017/acp-press-release-kelly-creek.pdf; https://www.edf-re.com/project/kelly-creek-wind/; https://www.edf-re.com/press-release/edf-renewable-energy-announces-commercial-operation-kelly-creek-wind-project/,manager/company ownership source; supporting source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Capital Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Lotus Solar Farm,United States,Allianz Global Investors,n.a.,2019,n.a.,n.a.,https://www.businesswire.com/news/home/20190910005984/en/8minute-Solar-Energy-and-Allianz-Global-Investors-Announce-First-Major-U.S.-Acquisition; https://avantus.com/news/8minute-solar-energy-s-67-megawatt-lotus-solar-farm-now-fully-operational; https://www.foley.com/news/2019/09/foley-represents-8minute-solar-energy/,press release; supporting source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Allianz Global Investors | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
