priority,match_status,company_name,country,company_status,owner_source,owner_index,investment_firm,owner_status,ownership_vehicle,investment_year,exact_fund_name,suggested_fund_name,candidate_score,suggested_action,rationale,evidence_urls
review,named_vehicle_missing_from_funds,Creative Energy,Canada,Active,owners[],0,Instar,Active,InstarAGF Essential Infrastructure Fund,2018,,,0.641,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Evergreen Infrastructure Fund"" (0.641).",https://www.globenewswire.com/news-release/2018/02/13/1340017/0/en/InstarAGF-Essential-Infrastructure-Fund-Partners-with-Creative-Energy.html; https://creative.energy/projects/vancouver-core; https://instarinvest.com/portfolio/; https://central.cvca.ca/data-analysis/creative-energy-behind-deal-instaragf-asset-management/
review,named_vehicle_missing_from_funds,Cruise Terminals International,United States,Active,owners[],0,iCON Infrastructure,Active,iCON Infrastructure Partners VI,2023,,,0.788,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""iCON Infrastructure Fund VII"" (0.788).",https://cruisetermint.com/; https://iconinfrastructure.com/investments/; https://www.prnewswire.com/news-releases/the-virgin-islands-port-authority-royal-caribbean-group-and-cruise-terminals-international-commemorate-crown-bay-district-redevelopment-signing-302646007.html; https://cruisetermint.com/partners/
review,named_vehicle_missing_from_funds,Cypress Creek Renewables,United States,Active,owners[],0,EQT Infrastructure,Active,EQT Infrastructure V,2021,,,0.850,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""DIF Infrastructure V"" (0.850).",https://ccrenew.com/news/welcome-eqt-to-the-cypress-creek-team/; https://ccrenew.com/news/cypress-creek-announces-close-of-sale-to-eqt/; https://www.prnewswire.com/news-releases/cypress-creek-acquires-2-5-gw-solar-project-with-2-9-gwh-energy-storage-in-development-in-arkansas-from-swift-current-energy-302711078.html; https://ccrenew.com/
review,named_vehicle_missing_from_funds,Delta Utilities,United States,Active,owners[],0,Bernhard Capital Partners,Active,BCP Infrastructure Fund II,2025,,,0.857,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Ember Infrastructure Fund II"" (0.857).",https://www.bernhardcapital.com/bcp-backed-delta-utilities-completes-acquisition-of-centerpoint-energys-natural-gas-distribution-businesses-in-louisiana-and-mississippi/; https://www.prnewswire.com/news-releases/spire-announces-sale-of-its-mississippi-natural-gas-business-to-delta-utilities-for-75-million-302749447.html; https://www.bernhardcapital.com/bcp-backed-delta-utilities-completes-acquisition-of-entergys-natural-gas-distribution-businesses-in-new-orleans-and-east-baton-rouge-parish/; https://deltautilities.com/corporate/about-us
review,named_vehicle_missing_from_funds,Depot Connect International,United States,Active,owners[],0,KKR,Active,KKR Global Infrastructure Investors IV,2022,,,0.840,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""KKR Global Infrastructure Investors V"" (0.840).",https://depotconnect.com/depots/; https://depotconnect.com/; https://www.depotconnect.com/about; https://www.apax.com/news-views/apax-funds-to-sell-boasso-global-to-kkr/
review,named_vehicle_missing_from_funds,Dobson Fiber,United States,Active,owners[],0,iCON Infrastructure,Active,iCON Infrastructure Partners V,2022,,,0.771,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Macquarie Infrastructure Partners V"" (0.771).",https://newswire.telecomramblings.com/2022/02/dobson-fiber-announces-strategic-partnership-with-icon-infrastructure/; https://www.milbank.com/en/news/milbank-advises-icon-infrastructure-on-closing-of-strategic-partnership-with-dobson-fiber.html; https://www.dobson.net/; https://www.dobson.net/news/dobson-fiber-celebrates-85th-anniversary
review,named_vehicle_missing_from_funds,Duquesne Light Company,United States,Active,owners[],2,Manulife,Active,Manulife Infrastructure Fund I / PGGM Infrastructure Fund,2016,,,0.727,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Manulife Infrastructure Fund I"" (0.727).",https://duquesnelight.com/company/about/investors; https://duquesnelight.com/company/about/investors; https://www.puc.pa.gov/press-release/2007/puc-approves-agreement-for-macquarie-consortium-to-purchase-duquesne-light; https://duquesnelight.com/company/about
review,named_vehicle_missing_from_funds,EdgeConneX,United States,Active,owners[],0,EQT Infrastructure,Active,EQT Infrastructure IV,2020,,,0.857,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""DIF Infrastructure IV"" (0.857).",https://www.edgeconnex.com/news/press-releases/eqt-infrastructure-to-acquire-leading-global-data-center-provider-edgeconnex/; https://www.edgeconnex.com/news/press-releases/edgeconnex-announces-completion-of-its-acquisition-by-eqt-infrastructure/; https://www.edgeconnex.com/; https://eqtgroup.com/about/current-portfolio/edgeconnex
review,named_vehicle_missing_from_funds,Elevate Renewables,United States,Active,owners[],0,ArcLight Capital Partners,Active,ArcLight Energy Partners Fund VII,2022,,,0.746,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""ArcLight Infrastructure Partners Fund VIII"" (0.746).",https://www.prnewswire.com/news-releases/arclight-makes-150-million-commitment-to-elevate-renewables-301734222.html; https://www.elevaterenewables.com/; https://www.prnewswire.com/news-releases/arclight-and-elevate-announce-new-york-citys-largest-battery-storage-project-to-date-302157303.html
review,named_vehicle_missing_from_funds,Elevation,United States,Active,owners[],0,Bernhard Capital Partners,Active,BCP Infrastructure Fund I,2022,,,0.880,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Ara Infrastructure Fund I"" (0.880).",https://poweredbyelevation.com/post/elevation-secures-series-b-investment-to-bring-clean-energy-to-renters/; https://www.prnewswire.com/news-releases/elevation-announces-20-million-convertible-note-investment-from-bernhard-capital-partners-301937424.html; https://www.bernhardcapital.com/portfolio-items/elevation/; https://poweredbyelevation.com/locations/
review,named_vehicle_missing_from_funds,Epirus,United States,Active,owners[],0,I Squared Capital,Active,ISQ Global InfraTech Fund,2022,,,0.752,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""ISQ Global Infrastructure Fund IV"" (0.752).",https://www.epirusinc.com/epirus-announces-200m-series-c-funding-round/; https://www.epirusinc.com/; https://www.epirusinc.com/epirus-opens-new-headquarters-in-torrance-california/
review,named_vehicle_missing_from_funds,eStruxture Data Centers,Canada,Active,owners[],0,Fengate Asset Management,Active,Fengate Infrastructure Fund III / Fund IV,2017,,,0.811,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Fengate Infrastructure Fund IV"" (0.811).",https://fengate.com/investments/estruxture-data-centers; https://fengate.com/news/estruxture-data-centers-a-fengate-portfolio-company-announces-c1-35-billion-financing-and-first-canadian-data-center-sector-asset-backed-securities; https://fengate.com/news/fengate-closes-record-1-8-billion-estruxture-data-center-deal; https://www.estruxture.com/press-releases/fengate-leads-transformative-1-8-billion-investment-to-amplify-estruxture-data-centers-hyperscale-growth
review,named_vehicle_missing_from_funds,Eureka Midstream,United States,Active,owners[],0,MSIP,Active,North Haven Infrastructure Partners II,2014,,,0.857,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""North Haven Infrastructure Partners II (NHIP II)"" (0.857).",https://www.morganstanley.com/im/en-us/capital-seeker/companies/eureka-midstream.html; https://www.sec.gov/Archives/edgar/data/1335190/000133519016000129/mhr-20151231x10xk.htm; https://www.prnewswire.com/news-releases/black-river-and-morgan-stanley-infrastructure-partners-complete-sale-of-eureka-midstream-to-newly-formed-partnership-with-sk-holdings-300543183.html; https://www.foundationinfra.com/sites/default/files/2019-08/eqm_eureka_pr.pdf
review,named_vehicle_missing_from_funds,Euryalus Solar Portfolio,United States,Active,owners[],0,Amber Infrastructure,Active,US Solar Fund plc (USF),2020,,,0.381,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""AxInfra Fund I-IV"" (0.381).",https://www.ussolarfund.co.uk/portfolio/acquisition-five; https://www.ussolarfund.co.uk/sites/default/files/us_solar_fund_ar24_web_ready_pdf.pdf; https://www.amberinfrastructure.com/news-and-insights/press-releases/amber-appointed-us-solar-fund-plc-investment-manager/; https://www.ussolarfund.co.uk/sites/default/files/usf_interim_report_2025.pdf
review,named_vehicle_missing_from_funds,Everfast Fiber Networks,United States,Active,owners[],0,Astatine Investment Partners,Active,Astatine Investment Partners LLC,2022,,,0.526,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Blackstone Infrastructure Partners (BIP)"" (0.526).",https://www.bankstreet.com/transactions/astatine-investment-partners-has-acquired-the-kansas-city-assets-of-consolidated-communications-establishing-a-new-fiber-to-the-premises-platform-everfast-fiber-networks/; https://www.everfastfiber.com/; https://www.everfastfiber.com/about-us/; https://astatineip.com/investment/everfast-fiber-networks/
review,named_vehicle_missing_from_funds,Ezee Fiber,United States,Active,owners[],0,I Squared Capital,Active,ISQ Global Infrastructure Fund III,2021,,,0.882,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""IFM Global Infrastructure Fund (GIF)"" (0.882).",https://www.businesswire.com/news/home/20210729006102/en/I-Squared-Capital-Forms-Ezee-Fiber-a-New-Digital-Infrastructure-Platform-in-Texas-and-Announces-First-Platform-Acquisition-of-ICTX-WaveMedia; https://www.lightreading.com/fttx/i-squared-backed-ezee-fiber-acquires-tachus; https://isquaredcapital.com/wp-content/uploads/2024/07/IPE-REAL-ASSETS-Power-and-Connectivity.pdf
review,named_vehicle_missing_from_funds,Fillex,United States,Active,owners[],0,Morrison,Active,Morrison Value Add II SCSp,2026,,,0.572,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Morrison MVA II"" (0.572).",https://www.pehub.com/morrison-backs-newly-launched-pharmacy-logistics-platform-fillex/; https://morrisonglobal.com/news-insights/morrison-launches-fillex-a-national-automated-pharmacy-infrastructure-platform-to-modernize-us-healthcare-logistics/; https://www.goodwinlaw.com/en/news-and-events/news/2026/01/announcements-privateequity-goodwin-advises-morrison
review,named_vehicle_missing_from_funds,First Student,United States / Canada,Active,owners[],0,EQT Infrastructure,Active,EQT Infrastructure V,2021,,,0.850,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""DIF Infrastructure V"" (0.850).",https://firststudentinc.com/resources/newsroom/eqt-infrastructure-closes-acquisition-of-first-student-and-first-transit/; https://firststudentinc.com/; https://eqtgroup.com/about/current-portfolio/first-student
